HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Lithuania,Turkey,2022,0,6,6
Kuwait,Indonesia,2022,1,2,3
Jordan,Nepal,2022,2,0,2
Philippines,Yemen,2022,0,0,0
Mongolia,Palestine,2022,0,1,1
Thailand,Maldives,2022,3,0,3
Uzbekistan,Sri Lanka,2022,3,0,3
Hong Kong,Afghanistan,2022,2,1,3
India,Cambodia,2022,2,0,2
Bahrain,Bangladesh,2022,2,0,2
Malaysia,Turkmenistan,2022,3,1,4
Tajikistan,Myanmar,2022,4,0,4
Kyrgyz Republic,Singapore,2022,2,1,3
Uganda,Niger,2022,1,1,2
Tanzania,Algeria,2022,0,2,2
Congo,Gambia,2022,1,0,1
Gabon,Mauritania,2022,0,0,0
Sudan,Congo DR,2022,2,1,3
Benin,Mozambique,2022,0,1,1
Wales,Netherlands,2022,1,2,3
Belgium,Poland,2022,6,1,7
Republic of Ireland,Ukraine,2022,0,1,1
Scotland,Armenia,2022,2,0,2
Guinea-Bissau,São Tomé and Príncipe,2022,5,1,6
Nigeria,Sierra Leone,2022,2,1,3
Burundi,Cameroon,2022,0,1,1
Ethiopia,Egypt,2022,2,0,2
Guinea,Malawi,2022,1,0,1
South Sudan,Mali,2022,1,3,4
Lesotho,Côte d'Ivoire,2022,0,0,0
Morocco,South Africa,2022,2,1,3
Canada,Curaçao,2022,4,0,4
Antigua and Barbuda,Cuba,2022,0,2,2
Aruba,St. Kitts and Nevis,2022,2,3,5
Dominica,St. Lucia,2022,0,1,1
Cayman Islands,Puerto Rico,2022,0,3,3
Portugal,Czech Republic,2022,2,0,2
Switzerland,Spain,2022,0,1,1
Norway,Slovenia,2022,0,0,0
Sweden,Serbia,2022,0,1,1
Kosovo,Northern Ireland,2022,3,2,5
Greece,Cyprus,2022,3,0,3
Gibraltar,Bulgaria,2022,1,1,2
North Macedonia,Georgia,2022,0,3,3
Malta,Estonia,2022,1,2,3
New Zealand,Oman,2022,0,0,0
San Marino,Iceland,2022,0,1,1
Saudi Arabia,Venezuela,2022,0,1,1
USA,Grenada,2022,5,0,5
St. Vincent and the Grenadines,Trinidad and Tobago,2022,0,2,2
Bahamas,Nicaragua,2022,0,2,2
Dominican Republic,Guatemala,2022,1,1,2
Austria,France,2022,1,1,2
Denmark,Croatia,2022,0,1,1
Albania,Israel,2022,1,2,3
Azerbaijan,Slovakia,2022,0,1,1
Belarus,Kazakhstan,2022,1,1,2
Moldova,Latvia,2022,2,4,6
Andorra,Liechtenstein,2022,2,1,3
Korea Republic,Paraguay,2022,2,2,4
Chile,Tunisia,2022,0,2,2
Japan,Ghana,2022,4,1,5
Kuwait,Nepal,2022,4,1,5
Indonesia,Jordan,2022,0,1,1
Mongolia,Philippines,2022,0,1,1
Yemen,Palestine,2022,0,5,5
Sri Lanka,Thailand,2022,0,2,2
Uzbekistan,Maldives,2022,4,0,4
Cambodia,Hong Kong,2022,0,3,3
India,Afghanistan,2022,2,1,3
Bangladesh,Turkmenistan,2022,1,2,3
Malaysia,Bahrain,2022,1,2,3
Singapore,Tajikistan,2022,0,1,1
Kyrgyz Republic,Myanmar,2022,2,0,2
Mexico,Suriname,2022,3,0,3
Guyana,Haiti,2022,2,6,8
Montserrat,Bermuda,2022,3,2,5
England,Italy,2022,0,0,0
Hungary,Germany,2022,1,1,2
Wales,Belgium,2022,1,1,2
Netherlands,Poland,2022,2,2,4
Ukraine,Armenia,2022,3,0,3
Republic of Ireland,Scotland,2022,3,0,3
Montenegro,Bosnia and Herzegovina,2022,1,1,2
Romania,Finland,2022,1,0,1
Faroe Islands,Lithuania,2022,2,1,3
Luxembourg,Turkey,2022,0,2,2
Ecuador,Cabo Verde,2022,1,0,1
Uruguay,Panama,2022,5,0,5
Cuba,Antigua and Barbuda,2022,3,1,4
St. Lucia,Anguilla,2022,2,0,2
Puerto Rico,British Virgin Islands,2022,6,0,6
Spain,Czech Republic,2022,2,0,2
Switzerland,Portugal,2022,1,0,1
Norway,Sweden,2022,3,2,5
Slovenia,Serbia,2022,2,2,4
Northern Ireland,Cyprus,2022,2,2,4
Greece,Kosovo,2022,2,0,2
North Macedonia,Gibraltar,2022,4,0,4
Georgia,Bulgaria,2022,0,0,0
Malta,San Marino,2022,1,0,1
IR Iran,Algeria,2022,1,2,3
Australia,Peru,2022,0,0,0
São Tomé and Príncipe,Nigeria,2022,0,10,10
Sierra Leone,Guinea-Bissau,2022,2,2,4
Morocco,Liberia,2022,2,0,2
Honduras,Canada,2022,2,1,3
Nicaragua,Bahamas,2022,4,0,4
Trinidad and Tobago,St. Vincent and the Grenadines,2022,4,1,5
Guatemala,Dominican Republic,2022,2,0,2
Denmark,Austria,2022,2,0,2
France,Croatia,2022,0,1,1
Iceland,Israel,2022,2,2,4
Azerbaijan,Belarus,2022,2,0,2
Kazakhstan,Slovakia,2022,2,1,3
Albania,Estonia,2022,0,0,0
Costa Rica,New Zealand,2022,1,0,1
Kuwait,Jordan,2022,0,3,3
Indonesia,Nepal,2022,7,0,7
Palestine,Philippines,2022,4,0,4
Mongolia,Yemen,2022,2,0,2
Maldives,Sri Lanka,2022,1,0,1
Uzbekistan,Thailand,2022,2,0,2
Afghanistan,Cambodia,2022,2,2,4
India,Hong Kong,2022,4,0,4
Bahrain,Turkmenistan,2022,1,0,1
Malaysia,Bangladesh,2022,4,1,5
Myanmar,Singapore,2022,2,6,8
Kyrgyz Republic,Tajikistan,2022,0,0,0
Jamaica,Mexico,2022,1,1,2
El Salvador,USA,2022,1,1,2
Haiti,Guyana,2022,6,0,6
England,Hungary,2022,0,4,4
Germany,Italy,2022,5,2,7
Netherlands,Wales,2022,3,2,5
Poland,Belgium,2022,0,1,1
Armenia,Scotland,2022,1,4,5
Ukraine,Republic of Ireland,2022,1,1,2
Bosnia and Herzegovina,Finland,2022,3,2,5
Romania,Montenegro,2022,0,3,3
Luxembourg,Faroe Islands,2022,2,2,4
Turkey,Lithuania,2022,2,0,2
Moldova,Andorra,2022,2,1,3
Liechtenstein,Latvia,2022,0,2,2
Chile,Ghana,2022,0,0,0
Japan,Tunisia,2022,0,3,3
Korea Republic,Egypt,2022,4,1,5
Qatar,Ecuador,2022,0,2,2
Senegal,Netherlands,2022,0,2,2
England,IR Iran,2022,6,2,8
USA,Wales,2022,1,1,2
France,Australia,2022,4,1,5
Denmark,Tunisia,2022,0,0,0
Mexico,Poland,2022,0,0,0
Argentina,Saudi Arabia,2022,1,2,3
Belgium,Canada,2022,1,0,1
Spain,Costa Rica,2022,7,0,7
Germany,Japan,2022,1,2,3
Morocco,Croatia,2022,0,0,0
Switzerland,Cameroon,2022,1,0,1
Uruguay,Korea Republic,2022,0,0,0
Portugal,Ghana,2022,3,2,5
Brazil,Serbia,2022,2,0,2
Wales,IR Iran,2022,0,2,2
Qatar,Senegal,2022,1,3,4
Netherlands,Ecuador,2022,1,1,2
England,USA,2022,0,0,0
Tunisia,Australia,2022,0,1,1
Poland,Saudi Arabia,2022,2,0,2
France,Denmark,2022,2,1,3
Argentina,Mexico,2022,2,0,2
Japan,Costa Rica,2022,0,1,1
Belgium,Morocco,2022,0,2,2
Croatia,Canada,2022,4,1,5
Spain,Germany,2022,1,1,2
Cameroon,Serbia,2022,3,3,6
Korea Republic,Ghana,2022,2,3,5
Brazil,Switzerland,2022,1,0,1
Portugal,Uruguay,2022,2,0,2
Wales,England,2022,0,3,3
IR Iran,USA,2022,0,1,1
Ecuador,Senegal,2022,1,2,3
Netherlands,Qatar,2022,2,0,2
Australia,Denmark,2022,1,0,1
Tunisia,France,2022,1,0,1
Poland,Argentina,2022,0,2,2
Saudi Arabia,Mexico,2022,1,2,3
Croatia,Belgium,2022,0,0,0
Canada,Morocco,2022,1,2,3
Japan,Spain,2022,2,1,3
Costa Rica,Germany,2022,2,4,6
Ghana,Uruguay,2022,0,2,2
Korea Republic,Portugal,2022,2,1,3
Serbia,Switzerland,2022,2,3,5
Cameroon,Brazil,2022,1,0,1
